"town","tests_total","tests_pos","dt","tests_posn"
"West Newbury",466,"25",2020-12-10,25
"West Springfield",2772,"250",2020-12-10,250
"West Stockbridge",116,"5",2020-12-10,5
"West Tisbury",265,"10",2020-12-10,10
"Westborough",2623,"116",2020-12-10,116
"Westfield",4019,"226",2020-12-10,226
"Westford",2065,"112",2020-12-10,112
"Westhampton",65,"1",2020-12-10,1
"Westminster",729,"33",2020-12-10,33
"Weston",2356,"38",2020-12-10,38
"Westport",1561,"126",2020-12-10,126
"Westwood",1833,"73",2020-12-10,73
"Weymouth",4912,"301",2020-12-10,301
"Whately",74,"3",2020-12-10,3
"Whitman",1233,"85",2020-12-10,85
"Wilbraham",1975,"121",2020-12-10,121
"Williamsburg",360,"6",2020-12-10,6
"Williamstown",1685,"7",2020-12-10,7
"Wilmington",2659,"203",2020-12-10,203
"Winchendon",778,"33",2020-12-10,33
"Winchester",4054,"133",2020-12-10,133
"Windsor",60,"2",2020-12-10,2
"Winthrop",4676,"247",2020-12-10,247
"Woburn",5304,"397",2020-12-10,397
"Worcester",37386,"1997",2020-12-10,1997
"Worthington",98,"7",2020-12-10,7
"Wrentham",1690,"54",2020-12-10,54
"Yarmouth",2397,"122",2020-12-10,122
"Unknown",16211,"169",2020-12-10,169
"State",1055707,"55403",2020-12-10,55403
